; "GeForce GTX 1080", "CC", 6.1, "Multiprocessors", 20, "Memory [MiB]", 8113, "MemoryFree [MiB]", 8000, "MemClock [MHz]", 5005, "GPUClock [MHz]", 1847, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 743.662
; "Time_ContextDestroy [ms]", 130.397
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",2,"oddshape",6859,6859,0,0,"Success",151.583,0.511592,0.523325,48.8911,36.7132,36.6889,29.2235,0.353329,152.974,3.76367e+08,3.76367e+08,3.76367e+08,72
"CuFFT","Inplace","Complex","float",2,"oddshape",6859,6859,0,1,"Success",151.571,0.524512,0.522417,48.8517,36.7155,36.692,29.2457,0.336218,152.957,3.76367e+08,3.76367e+08,3.76367e+08,72
"CuFFT","Inplace","Complex","float",2,"oddshape",6859,6859,0,2,"Success",151.526,0.5257,0.5301,48.8721,36.709,36.6854,29.1949,0.355984,152.94,3.76367e+08,3.76367e+08,3.76367e+08,72
"CuFFT","Inplace","Complex","float",2,"oddshape",6859,6859,0,3,"Success",151.433,0.505794,0.522487,48.757,36.7175,36.6899,29.1968,0.356892,152.821,3.76367e+08,3.76367e+08,3.76367e+08,72
"CuFFT","Inplace","Complex","float",2,"oddshape",6859,6859,0,4,"Success",151.479,0.496784,0.533103,48.7926,36.7131,36.6907,29.2191,0.343622,152.856,3.76367e+08,3.76367e+08,3.76367e+08,72
"CuFFT","Inplace","Complex","float",3,"oddshape",3,3,3,0,"Success",0.13682,0.179354,0.239907,0.007456,0.039936,0.032416,0.012288,0.069842,0.628717,216,216,216,28
"CuFFT","Inplace","Complex","float",3,"oddshape",3,3,3,1,"Success",0.124039,0.184452,0.230269,0.007168,0.037472,0.029696,0.011744,0.066908,0.608533,216,216,216,28
"CuFFT","Inplace","Complex","float",3,"oddshape",3,3,3,2,"Success",0.125226,0.177818,0.23006,0.007808,0.038624,0.029696,0.012096,0.066909,0.602875,216,216,216,28
"CuFFT","Inplace","Complex","float",3,"oddshape",3,3,3,3,"Success",0.124737,0.178516,0.22999,0.007936,0.037888,0.029696,0.01184,0.074941,0.611047,216,216,216,28
"CuFFT","Inplace","Complex","float",3,"oddshape",3,3,3,4,"Success",0.124249,0.177817,0.237323,0.007808,0.036832,0.029696,0.011584,0.067049,0.609301,216,216,216,28
"CuFFT","Inplace","Complex","float",3,"oddshape",3,3,9,0,"Success",0.147716,0.176421,0.229849,0.007168,0.047104,0.04272,0.012256,0.070889,0.62767,648,648,648,29
"CuFFT","Inplace","Complex","float",3,"oddshape",3,3,9,1,"Success",0.125226,0.181938,0.230478,0.007168,0.037888,0.030464,0.011808,0.06621,0.606787,648,648,648,29
"CuFFT","Inplace","Complex","float",3,"oddshape",3,3,9,2,"Success",0.125087,0.176421,0.22964,0.007264,0.038912,0.029696,0.011264,0.066071,0.600152,648,648,648,29
"CuFFT","Inplace","Complex","float",3,"oddshape",3,3,9,3,"Success",0.125855,0.173697,0.22978,0.007168,0.037888,0.030496,0.011296,0.06635,0.598545,648,648,648,29
"CuFFT","Inplace","Complex","float",3,"oddshape",3,3,9,4,"Success",0.128719,0.174116,0.249126,0.007168,0.038912,0.031744,0.012192,0.068445,0.623339,648,648,648,29
"CuFFT","Inplace","Complex","float",3,"oddshape",5,5,5,0,"Success",0.126553,0.183615,0.257437,0.007552,0.037888,0.031296,0.012064,0.067467,0.637866,1000,1000,1000,45
"CuFFT","Inplace","Complex","float",3,"oddshape",5,5,5,1,"Success",0.125297,0.174814,0.230548,0.007936,0.037888,0.029664,0.012192,0.066909,0.600432,1000,1000,1000,45
"CuFFT","Inplace","Complex","float",3,"oddshape",5,5,5,2,"Success",0.131163,2.24102,0.238021,0.008064,0.039936,0.030368,0.01184,0.070191,2.68326,1000,1000,1000,45
"CuFFT","Inplace","Complex","float",3,"oddshape",5,5,5,3,"Success",0.12851,0.18564,0.240815,0.008192,0.039936,0.030368,0.011648,0.067956,0.625714,1000,1000,1000,45
"CuFFT","Inplace","Complex","float",3,"oddshape",5,5,5,4,"Success",0.126763,0.184592,0.231386,0.008032,0.037888,0.031456,0.011392,0.067188,0.612933,1000,1000,1000,45
"CuFFT","Inplace","Complex","float",3,"oddshape",3,9,9,0,"Success",0.135074,0.175653,0.245355,0.007168,0.038912,0.038912,0.011872,0.083181,0.642197,1944,1944,1944,30
"CuFFT","Inplace","Complex","float",3,"oddshape",3,9,9,1,"Success",0.125856,0.190669,0.237184,0.008192,0.037888,0.029696,0.011776,0.067957,0.624527,1944,1944,1944,30
"CuFFT","Inplace","Complex","float",3,"oddshape",3,9,9,2,"Success",0.126764,0.175023,0.231247,0.007904,0.038912,0.03072,0.012128,0.066839,0.602806,1944,1944,1944,30
"CuFFT","Inplace","Complex","float",3,"oddshape",3,9,9,3,"Success",0.126553,0.175234,0.230897,0.007936,0.038912,0.03072,0.011904,0.066559,0.602107,1944,1944,1944,30
"CuFFT","Inplace","Complex","float",3,"oddshape",3,9,9,4,"Success",0.124877,0.174674,0.237602,0.007904,0.037888,0.03072,0.012,0.066769,0.606787,1944,1944,1944,30
"CuFFT","Inplace","Complex","float",3,"oddshape",7,7,7,0,"Success",0.130953,0.185081,0.232503,0.007488,0.039712,0.031744,0.011904,0.07054,0.621941,2744,2744,2744,56
"CuFFT","Inplace","Complex","float",3,"oddshape",7,7,7,1,"Success",0.136332,0.176421,0.230827,0.00816,0.038912,0.03056,0.012352,0.068236,0.614608,2744,2744,2744,56
"CuFFT","Inplace","Complex","float",3,"oddshape",7,7,7,2,"Success",0.126413,0.183334,0.230897,0.00752,0.038912,0.030528,0.011872,0.067188,0.610697,2744,2744,2744,56
"CuFFT","Inplace","Complex","float",3,"oddshape",7,7,7,3,"Success",0.126832,0.175722,0.22971,0.007776,0.037888,0.03072,0.012192,0.067258,0.602316,2744,2744,2744,56
"CuFFT","Inplace","Complex","float",3,"oddshape",7,7,7,4,"Success",0.126832,0.174325,0.22964,0.007584,0.037888,0.030592,0.01184,0.066839,0.60043,2744,2744,2744,56
"CuFFT","Inplace","Complex","float",3,"oddshape",5,5,25,0,"Success",0.128509,0.176071,0.231596,0.007904,0.03888,0.03072,0.012384,0.067468,0.606577,5000,5000,5000,46
"CuFFT","Inplace","Complex","float",3,"oddshape",5,5,25,1,"Success",0.127951,0.175932,0.231316,0.007584,0.037888,0.03072,0.01232,0.068096,0.606228,5000,5000,5000,46
"CuFFT","Inplace","Complex","float",3,"oddshape",5,5,25,2,"Success",0.137589,0.174605,0.230827,0.008192,0.03968,0.031424,0.012288,0.067747,0.613562,5000,5000,5000,46
"CuFFT","Inplace","Complex","float",3,"oddshape",5,5,25,3,"Success",0.127322,0.182846,0.231386,0.007168,0.039552,0.031584,0.011744,0.066699,0.611257,5000,5000,5000,46
"CuFFT","Inplace","Complex","float",3,"oddshape",5,5,25,4,"Success",0.127322,0.174745,0.230688,0.007168,0.038848,0.031744,0.011712,0.066838,0.602457,5000,5000,5000,46
